TIME,B32Irms,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9356,1.72823,0.619346,0.642094,0.625356,0.625101,0.619506,0.644159,0.658156,0.657329,0.670257,0.682082
2.9358,1.72764,0.619874,0.642129,0.625334,0.625354,0.619788,0.644026,0.659631,0.657377,0.670145,0.681565
2.936,1.72773,0.620421,0.641269,0.625907,0.624518,0.619946,0.643803,0.661292,0.65705,0.66989,0.681438
2.9362,1.7285,0.620658,0.639701,0.626733,0.623271,0.619608,0.643997,0.662423,0.65668,0.669377,0.681882
2.9364,1.72967,0.62043,0.638276,0.626935,0.622499,0.619021,0.644915,0.662994,0.656688,0.668703,0.682773
2.9366,1.7305,0.619769,0.637704,0.626378,0.622263,0.618545,0.645913,0.663463,0.656949,0.667886,0.683453
2.9368,1.73063,0.619089,0.637823,0.625537,0.622482,0.618499,0.646672,0.664378,0.657397,0.66732,0.683697
2.937,1.72965,0.618843,0.637929,0.625023,0.623181,0.61889,0.646704,0.665606,0.657786,0.66748,0.683073
2.9372,1.72853,0.619331,0.637532,0.625152,0.623783,0.61954,0.645981,0.666387,0.657884,0.668182,0.682089
2.9374,1.72807,0.620381,0.636629,0.625995,0.62401,0.620047,0.645338,0.666248,0.657723,0.668818,0.681555
2.9376,1.72853,0.621114,0.635647,0.627262,0.62458,0.620112,0.645535,0.665384,0.657471,0.668901,0.681662
2.9378,1.72985,0.622723,0.63514,0.627861,0.626059,0.619983,0.645998,0.664523,0.657326,0.668257,0.682601
2.938,1.73101,0.62509,0.635377,0.627821,0.627289,0.620129,0.646499,0.664115,0.657515,0.667331,0.683522
2.9382,1.73193,0.6263,0.636179,0.627305,0.627645,0.621094,0.646958,0.664348,0.658108,0.666738,0.684254
2.9384,1.73236,0.625816,0.636923,0.626693,0.627489,0.623062,0.646942,0.663515,0.658906,0.666833,0.684659
2.9386,1.73184,0.624114,0.637371,0.626366,0.627182,0.624462,0.646946,0.661798,0.659622,0.667469,0.684369
2.9388,1.7316,0.622955,0.637505,0.626268,0.62707,0.623979,0.64687,0.659598,0.660129,0.668044,0.683941
2.939,1.73258,0.62312,0.63748,0.62628,0.627674,0.622758,0.646564,0.657649,0.660405,0.667913,0.68444
2.9392,1.73407,0.624243,0.637384,0.626433,0.628479,0.622316,0.646418,0.657088,0.660394,0.666998,0.685531
2.9394,1.73509,0.62516,0.637311,0.626708,0.628739,0.623056,0.64635,0.656909,0.660438,0.665981,0.686449
2.9396,1.73468,0.62511,0.638017,0.626545,0.629022,0.624391,0.646532,0.65695,0.660816,0.665461,0.686356
2.9398,1.733,0.623938,0.639482,0.626055,0.629048,0.625628,0.646809,0.656226,0.6614,0.665187,0.685161
2.94,1.7313,0.622708,0.641241,0.626436,0.628826,0.625927,0.647167,0.654977,0.662039,0.664984,0.683642
2.9402,1.73172,0.622429,0.641998,0.627785,0.628734,0.625544,0.647643,0.653173,0.662354,0.664602,0.683371
2.9404,1.73452,0.623524,0.641726,0.628957,0.629981,0.625331,0.648337,0.651357,0.662359,0.663633,0.685218
2.9406,1.73716,0.626183,0.641161,0.62957,0.631617,0.625613,0.6491,0.651456,0.661755,0.662528,0.687395
2.9408,1.73777,0.628547,0.640975,0.629533,0.632384,0.626247,0.649402,0.652765,0.661222,0.661886,0.688313
2.941,1.73625,0.628584,0.641408,0.628653,0.63102,0.62691,0.649057,0.653067,0.661245,0.662093,0.687323
2.9412,1.73482,0.626468,0.642764,0.627848,0.628056,0.627106,0.648464,0.651731,0.661389,0.662448,0.685973
2.9414,1.73463,0.62329,0.644438,0.627552,0.62583,0.626857,0.648465,0.650021,0.661006,0.66219,0.685438
2.9416,1.73659,0.621132,0.645401,0.627649,0.626578,0.626575,0.648715,0.64942,0.660007,0.661065,0.686545
2.9418,1.7392,0.621394,0.645483,0.627892,0.628911,0.626686,0.649438,0.650296,0.658796,0.659246,0.688509
2.942,1.74116,0.622848,0.644915,0.62781,0.63015,0.627368,0.650082,0.652096,0.658221,0.657943,0.690176
2.9422,1.74147,0.623963,0.644376,0.627466,0.6291,0.628146,0.650279,0.654105,0.658526,0.657478,0.690692
2.9424,1.74033,0.623637,0.644348,0.627231,0.6266,0.628462,0.650992,0.65557,0.659611,0.657421,0.689883
2.9426,1.73895,0.622087,0.644974,0.627066,0.624645,0.628165,0.652054,0.656409,0.660312,0.657237,0.688668
2.9428,1.7389,0.620116,0.645997,0.626863,0.625174,0.627839,0.652983,0.656769,0.65988,0.656623,0.688165
2.943,1.74045,0.619144,0.647421,0.626978,0.627459,0.62833,0.653225,0.656523,0.659116,0.655623,0.689072
2.9432,1.7426,0.61961,0.648806,0.627282,0.6293,0.62909,0.652613,0.656463,0.658829,0.654602,0.690636
2.9434,1.74414,0.620567,0.649287,0.627787,0.629316,0.629463,0.651802,0.657673,0.659273,0.653863,0.691947
2.9436,1.74428,0.620993,0.648606,0.627826,0.628465,0.628917,0.651499,0.660353,0.660357,0.653599,0.692243
2.9438,1.74326,0.620502,0.647455,0.627119,0.627827,0.628009,0.652053,0.662419,0.661622,0.653726,0.691483
2.944,1.74235,0.619609,0.646797,0.626085,0.62721,0.627644,0.653086,0.662435,0.663103,0.653959,0.690539
2.9442,1.74253,0.619059,0.647074,0.625354,0.626949,0.628346,0.653821,0.66117,0.663801,0.654029,0.690359
2.9444,1.74398,0.619159,0.648424,0.625041,0.627567,0.629427,0.653549,0.660589,0.663722,0.653853,0.691134
2.9446,1.74602,0.619594,0.650515,0.625228,0.628067,0.630158,0.652784,0.662351,0.663939,0.653434,0.692646
2.9448,1.74688,0.619887,0.652847,0.625547,0.627873,0.630111,0.652402,0.666076,0.664185,0.653017,0.693563
2.945,1.74532,0.619751,0.653814,0.625554,0.628005,0.629194,0.65259,0.669016,0.664187,0.653129,0.692723
2.9452,1.74172,0.619306,0.652216,0.624925,0.628997,0.627696,0.652849,0.669204,0.664136,0.653856,0.690091
2.9454,1.73763,0.619352,0.649334,0.623832,0.630205,0.626505,0.652378,0.669316,0.66388,0.654467,0.686783
