TIME,I_pu39,I_pu31,I_pu38,I_pu37,I_pu36,I_pu35,I_pu30,I_pu34,I_pu33,I_pu
2.9402,0.63149,0.647193,0.624719,0.622738,0.619732,0.645277,0.670368,0.666052,0.678685,0.675176
2.9404,0.632461,0.646773,0.62457,0.623859,0.619572,0.645471,0.667609,0.668917,0.679169,0.675463
2.9406,0.632027,0.646424,0.624072,0.62531,0.618505,0.646332,0.664916,0.669874,0.67844,0.676254
2.9408,0.630399,0.646524,0.623975,0.626048,0.61731,0.64709,0.663217,0.667753,0.676807,0.677793
2.941,0.628847,0.647146,0.625168,0.625631,0.616849,0.646926,0.662804,0.66393,0.675785,0.679697
2.9412,0.629003,0.647998,0.626978,0.624817,0.617854,0.645469,0.663258,0.66103,0.676019,0.680652
2.9414,0.630846,0.648695,0.628058,0.624291,0.620264,0.643489,0.663533,0.660451,0.676725,0.680076
2.9416,0.632863,0.649004,0.627606,0.62431,0.622202,0.641747,0.662873,0.661617,0.676812,0.679477
2.9418,0.634125,0.648853,0.625883,0.624997,0.622814,0.641595,0.661886,0.663284,0.676061,0.679778
2.942,0.634244,0.648391,0.623886,0.625319,0.622355,0.642482,0.661658,0.663442,0.675268,0.68112
2.9422,0.633115,0.647907,0.62286,0.624609,0.621614,0.643099,0.662476,0.661692,0.675463,0.683149
2.9424,0.631336,0.647857,0.62334,0.622882,0.620778,0.642891,0.663974,0.659123,0.676166,0.684804
2.9426,0.629765,0.648378,0.624436,0.620883,0.620168,0.641952,0.665714,0.65697,0.676874,0.685138
2.9428,0.628863,0.648866,0.624955,0.619679,0.61982,0.640627,0.666942,0.656081,0.677656,0.684444
2.943,0.628551,0.64879,0.624555,0.619918,0.619616,0.63942,0.667057,0.657992,0.678553,0.683927
2.9432,0.628398,0.647941,0.623593,0.622034,0.619652,0.638768,0.666793,0.661276,0.679062,0.684688
2.9434,0.62933,0.646582,0.622641,0.623833,0.620032,0.638825,0.666356,0.663313,0.678828,0.686483
2.9436,0.632468,0.645499,0.621976,0.623438,0.62,0.639432,0.666878,0.662983,0.678513,0.688095
2.9438,0.635467,0.645207,0.621846,0.621218,0.619711,0.640339,0.668728,0.661492,0.678132,0.688997
2.944,0.636211,0.645584,0.621916,0.618874,0.61876,0.641183,0.670909,0.660215,0.678548,0.688698
2.9442,0.634926,0.646445,0.621575,0.617911,0.617478,0.641666,0.672225,0.660066,0.67974,0.68805
2.9444,0.632546,0.646753,0.620985,0.618339,0.61684,0.64183,0.672058,0.661244,0.681337,0.688345
2.9446,0.630761,0.645966,0.620655,0.618756,0.617144,0.641889,0.671522,0.662444,0.682603,0.68972
2.9448,0.631437,0.644515,0.620539,0.618867,0.617594,0.641922,0.672833,0.66284,0.682703,0.691439
2.945,0.633477,0.643151,0.620287,0.618738,0.61727,0.642459,0.676402,0.66299,0.681048,0.692877
2.9452,0.634922,0.642402,0.619697,0.618281,0.616312,0.644034,0.679831,0.663413,0.678847,0.693071
2.9454,0.634329,0.642426,0.618835,0.617648,0.616467,0.645806,0.680746,0.663742,0.677981,0.69192
2.9456,0.631999,0.64277,0.617941,0.616702,0.618119,0.646605,0.679233,0.663446,0.679017,0.690331
2.9458,0.629763,0.643009,0.61731,0.616176,0.619664,0.645792,0.677615,0.662634,0.680266,0.689391
2.946,0.628946,0.642787,0.617109,0.616977,0.620132,0.644035,0.677225,0.661895,0.680278,0.689498
2.9462,0.629978,0.642209,0.61732,0.6183,0.619612,0.642708,0.678137,0.661904,0.678106,0.690316
2.9464,0.63205,0.641717,0.61765,0.618999,0.618634,0.642779,0.678392,0.662893,0.674891,0.691097
2.9466,0.633765,0.641636,0.617745,0.618982,0.617848,0.644117,0.677465,0.664232,0.672394,0.691255
2.9468,0.634404,0.641998,0.617437,0.618759,0.617589,0.645822,0.675353,0.664952,0.6719,0.690757
2.947,0.633348,0.642622,0.616807,0.618415,0.618025,0.646936,0.673353,0.664791,0.672645,0.689963
2.9472,0.631464,0.643196,0.616156,0.618151,0.619042,0.646959,0.671479,0.664339,0.673103,0.689166
2.9474,0.630503,0.643401,0.615852,0.618017,0.620084,0.646099,0.66946,0.664192,0.672042,0.689121
2.9476,0.630556,0.643214,0.61604,0.618056,0.620677,0.64501,0.667,0.664602,0.669365,0.689686
2.9478,0.631184,0.643214,0.616461,0.618306,0.620831,0.64457,0.665124,0.665587,0.666575,0.690103
2.948,0.631504,0.643908,0.616751,0.618786,0.620461,0.645231,0.664332,0.666607,0.665259,0.690239
2.9482,0.631268,0.644825,0.617022,0.619282,0.620296,0.64614,0.663159,0.666707,0.665828,0.68996
2.9484,0.630596,0.645348,0.617067,0.619266,0.620537,0.646676,0.661144,0.665791,0.667733,0.689173
2.9486,0.62999,0.645141,0.617174,0.618634,0.62127,0.646311,0.658747,0.664464,0.668985,0.6885
2.9488,0.630043,0.644484,0.617279,0.617728,0.622634,0.644911,0.657187,0.663332,0.66918,0.68845
2.949,0.630867,0.644023,0.617638,0.617068,0.624358,0.643258,0.656282,0.663019,0.668439,0.688833
2.9492,0.631277,0.6443,0.617969,0.616983,0.625647,0.641894,0.656016,0.66333,0.667335,0.689238
